student_id,name,email,university,tier,cgpa,skills,interests,location,preferred_location
STU_0001,student 1,student1@university.edu,bits pilani,Tier-2,7.04,"sql, web development",ai/ml,chennai,bangalore
STU_0002,student 2,student2@university.edu,vit chennai,Tier-3,8.25,"web development, machine learning, web development, python",ai/ml,chennai,delhi
STU_0003,student 3,student3@university.edu,nit trichy,Tier-2,7.76,"machine learning, machine learning","data science, data science",pune,chennai
STU_0004,student 4,student4@university.edu,vit chennai,Tier-3,9.18,"data analysis, machine learning, sql, web development","mobile apps, ai/ml",bangalore,chennai
STU_0005,student 5,student5@university.edu,vit chennai,Tier-2,8.95,"data analysis, java, python","ai/ml, mobile apps",chennai,pune
STU_0006,student 6,student6@university.edu,iit bombay,Tier-1,7.53,"web development, machine learning, java, web development",mobile apps,delhi,delhi
STU_0007,student 7,student7@university.edu,nit trichy,Tier-3,7.28,"sql, data analysis","software development, web development",bangalore,mumbai
STU_0008,student 8,student8@university.edu,nit trichy,Tier-1,7.64,"web development, sql",web development,mumbai,delhi
STU_0009,student 9,student9@university.edu,nit trichy,Tier-2,8.27,"python, python",web development,chennai,bangalore
STU_0010,student 10,student10@university.edu,vit chennai,Tier-3,7.3,"data analysis, machine learning, java, machine learning","web development, software development",bangalore,delhi
STU_0011,student 11,student11@university.edu,bits pilani,Tier-3,8.37,"java, sql","data science, mobile apps",delhi,delhi
STU_0012,student 12,student12@university.edu,nit trichy,Tier-2,7.73,"data analysis, java, python, java","web development, software development",pune,mumbai
STU_0013,student 13,student13@university.edu,vit chennai,Tier-2,8.16,"python, sql",web development,hyderabad,bangalore
STU_0014,student 14,student14@university.edu,iit bombay,Tier-2,7.81,"machine learning, data analysis, machine learning","data science, data science",hyderabad,hyderabad
STU_0015,student 15,student15@university.edu,bits pilani,Tier-2,7.38,"data analysis, web development, machine learning, java",software development,delhi,hyderabad
STU_0016,student 16,student16@university.edu,iit bombay,Tier-2,9.35,"machine learning, java, web development","software development, data science",delhi,chennai
STU_0017,student 17,student17@university.edu,bits pilani,Tier-2,8.79,"web development, data analysis","data science, software development",hyderabad,pune
STU_0018,student 18,student18@university.edu,vit chennai,Tier-3,6.92,"data analysis, java",mobile apps,pune,delhi
STU_0019,student 19,student19@university.edu,iit delhi,Tier-3,9.11,"java, sql",ai/ml,bangalore,chennai
STU_0020,student 20,student20@university.edu,bits pilani,Tier-3,7.96,"data analysis, java, java",mobile apps,hyderabad,mumbai
STU_0021,student 21,student21@university.edu,iit bombay,Tier-1,9.18,"java, python","web development, web development",delhi,hyderabad
STU_0022,student 22,student22@university.edu,vit chennai,Tier-2,8.9,"python, data analysis, machine learning, python",ai/ml,chennai,delhi
STU_0023,student 23,student23@university.edu,bits pilani,Tier-1,7.78,"sql, data analysis",data science,mumbai,mumbai
STU_0024,student 24,student24@university.edu,iit delhi,Tier-2,6.57,"web development, python",web development,pune,pune
STU_0025,student 25,student25@university.edu,iit delhi,Tier-2,7.31,"data analysis, machine learning, java","web development, data science",pune,mumbai
STU_0026,student 26,student26@university.edu,nit trichy,Tier-3,8.12,"data analysis, python, python",data science,chennai,delhi
STU_0027,student 27,student27@university.edu,nit trichy,Tier-2,8.4,"python, web development","software development, software development",chennai,pune
